,Akbank,Arçelik,Aselsan,BİM,Emlak Konut GYO,Ereğli Demir Çelik,Ford Otosan,Garanti BBVA,Halkbank,İş Bankası (C),Koç Holding,Koza Altın,Koza Anadolu,Petkim,Pegasus,Sabancı Holding,Şişe Cam,Turkcell,Türk Hava Yolları,Tofaş,Tüpraş,VakıfBank,Yapı Kredi,Smart Güneş,TAV Havalimanları
Akbank,1.0,0.4582288896974071,0.42142156601448794,0.40711317969857835,0.5071553931903452,0.4058195079359456,0.375368899691601,0.8491438298772951,0.6491735614846205,0.8459988496966889,0.6500276046361043,0.30815412538195547,0.36041039012649073,0.44564047472602,0.41327420512747437,0.7121296610984718,0.5006034747931447,0.48689606402527774,0.47881267978769415,0.40634880174224747,0.4225976612795005,0.7145134854694625,0.8575710606904714,0.24084204882466648,0.43769374018041884
Arçelik,0.4582288896974071,1.0,0.47390456033018197,0.38847525161018553,0.4860298725724186,0.48309497954533737,0.530262636124487,0.40708798651847083,0.4381808712209039,0.45231786135666485,0.6142526926449212,0.38387007783443616,0.42324473613084634,0.5056021225976172,0.4570630829485791,0.5742524832500213,0.5913753176470219,0.48709609971970064,0.5437702396934363,0.539450611697902,0.4840580467692804,0.42247832544076247,0.4501252502966921,0.24855624458934633,0.49256135680664886
Aselsan,0.42142156601448794,0.47390456033018197,1.0,0.3455678558984152,0.4648247287675176,0.4863487917759021,0.4474661114943769,0.38773953341999895,0.442440309868792,0.4230761117280718,0.5097963106080907,0.47320802503729237,0.48886720413517726,0.4899661651425829,0.44713427192225125,0.5086297591896529,0.5624765395499873,0.5093333078484737,0.5226730616782536,0.4641143431294617,0.49167655737530735,0.43400116183640963,0.4003087555664793,0.2322260789484431,0.46524879825870274
BİM,0.40711317969857835,0.38847525161018553,0.3455678558984152,1.0,0.37985012244232547,0.3953157201353899,0.36250126751944367,0.3760894977035494,0.35338745057710497,0.39305421413826375,0.48052040662355405,0.29096319177666213,0.29559507203553853,0.39776239370403593,0.3117778831882748,0.498845856966844,0.4330523416641435,0.42660715303023217,0.39415388202765633,0.37894678760067513,0.3764563444204196,0.33743820484243137,0.39103375955367037,0.23879222075705145,0.3596469542173809
Emlak Konut GYO,0.5071553931903452,0.4860298725724186,0.4648247287675176,0.37985012244232547,1.0,0.4847919614301779,0.3864838126787738,0.43160900471329505,0.5127884368804502,0.5071460153648056,0.5080082945471283,0.4476943532798945,0.46318387804930217,0.5282651048584169,0.43067439190093904,0.5481479976046562,0.5391586967004607,0.4487820091515619,0.510095677000448,0.4437060217622268,0.4168602416459968,0.5028931696663251,0.4945870562802212,0.27832240645502027,0.45986323520840816
Ereğli Demir Çelik,0.4058195079359456,0.48309497954533737,0.4863487917759021,0.3953157201353899,0.4847919614301779,1.0,0.4423902966905722,0.3718200241581902,0.4250424135338814,0.4261545924534134,0.5415684827686602,0.4087105937718115,0.4078126924733405,0.5469133854365333,0.3959716149449975,0.5308193203468676,0.5956181836520024,0.4483007603833299,0.5113747859912463,0.47519182489012485,0.5096736467187869,0.3993981548319273,0.4034452844195358,0.25663403261084233,0.4628707842181404
Ford Otosan,0.375368899691601,0.530262636124487,0.4474661114943769,0.36250126751944367,0.3864838126787738,0.4423902966905722,1.0,0.32305073955816893,0.34387155069700553,0.3699705624401333,0.5709196190934668,0.3561804705554241,0.368092766287725,0.4501381106054147,0.39563125864758414,0.49102706432729726,0.5141860697572219,0.4404056744611191,0.47982129346636404,0.6093757573745794,0.4703985874726679,0.3396461915953978,0.36947139190505823,0.27256280592082116,0.4300288661055459
Garanti BBVA,0.8491438298772951,0.40708798651847083,0.38773953341999895,0.3760894977035494,0.43160900471329505,0.3718200241581902,0.32305073955816893,1.0,0.6188152841553174,0.7867479749323005,0.6022759176842647,0.2652028887837308,0.31286486940033176,0.387918443724736,0.3946855389772699,0.6534008559754234,0.449193029413477,0.44143853986627873,0.44199679112049284,0.3607533313893537,0.4023438579964203,0.6838272382192805,0.7892675306861743,0.20703397921726865,0.41486512866563646
Halkbank,0.6491735614846205,0.4381808712209039,0.442440309868792,0.35338745057710497,0.5127884368804502,0.4250424135338814,0.34387155069700553,0.6188152841553174,1.0,0.674025726002344,0.5163516014017496,0.3313604492163732,0.3706426503140318,0.47417031790764586,0.38973587993048303,0.548831383561698,0.483146419376395,0.44224965001344857,0.4525290803253489,0.40864555424878074,0.3998260397631323,0.8588097421164855,0.6313470767538866,0.28888215878453616,0.39423605825181735
İş Bankası (C),0.8459988496966889,0.45231786135666485,0.4230761117280718,0.39305421413826375,0.5071460153648056,0.4261545924534134,0.3699705624401333,0.7867479749323005,0.674025726002344,1.0,0.6397420202296635,0.3014641054996623,0.34367460990912524,0.45856125377417517,0.4094137647281956,0.6789766389390921,0.5168460654023267,0.48180253913063253,0.4679555091366833,0.39362434268785523,0.4282013736892112,0.7254058127056395,0.839134061559505,0.23944210793288467,0.4244304636971743
Koç Holding,0.6500276046361043,0.6142526926449212,0.5097963106080907,0.48052040662355405,0.5080082945471283,0.5415684827686602,0.5709196190934668,0.6022759176842647,0.5163516014017496,0.6397420202296635,1.0,0.3990173367322813,0.4373023512579605,0.538766311273609,0.535959715628704,0.770332267648377,0.6337423939798705,0.5514653078639647,0.6173396026834066,0.5694945377979502,0.5898106083322594,0.5350672026975618,0.6557425905651133,0.24162940702346272,0.5634648768668761
Koza Altın,0.30815412538195547,0.38387007783443616,0.47320802503729237,0.29096319177666213,0.4476943532798945,0.4087105937718115,0.3561804705554241,0.2652028887837308,0.3313604492163732,0.3014641054996623,0.3990173367322813,1.0,0.8268237926452832,0.46000490607055067,0.36899813196052383,0.40207944315432576,0.4535288362984762,0.4188215895267043,0.4240521733222943,0.38627084395951644,0.3898634125906547,0.3125665231586665,0.28441044524482223,0.2629461886735299,0.3883924394421208
Koza Anadolu,0.36041039012649073,0.42324473613084634,0.48886720413517726,0.29559507203553853,0.46318387804930217,0.4078126924733405,0.368092766287725,0.31286486940033176,0.3706426503140318,0.34367460990912524,0.4373023512579605,0.8268237926452832,1.0,0.47289123512917075,0.3912707346677464,0.44193214368431233,0.47581684293835547,0.44410923922534934,0.4482443067842504,0.42902257285814793,0.4176218028529962,0.3702368318027676,0.33868506102056645,0.30032028847241493,0.4212469747244186
Petkim,0.44564047472602,0.5056021225976172,0.4899661651425829,0.39776239370403593,0.5282651048584169,0.5469133854365333,0.4501381106054147,0.387918443724736,0.47417031790764586,0.45856125377417517,0.538766311273609,0.46000490607055067,0.47289123512917075,1.0,0.4639154077826702,0.5528651547955388,0.6036746655257141,0.4777955536825869,0.5680636956494773,0.46384075310732625,0.5708122985526183,0.46597968172611226,0.47167984750359837,0.3146494947046964,0.4922062109522171
Pegasus,0.41327420512747437,0.4570630829485791,0.44713427192225125,0.3117778831882748,0.43067439190093904,0.3959716149449975,0.39563125864758414,0.3946855389772699,0.38973587993048303,0.4094137647281956,0.535959715628704,0.36899813196052383,0.3912707346677464,0.4639154077826702,1.0,0.5172734025394,0.5160367064391914,0.405649657367136,0.7790347819664193,0.4084009897154464,0.4724297934117364,0.38097096188010776,0.39359955490725057,0.2948643888123543,0.7106330889634787
Sabancı Holding,0.7121296610984718,0.5742524832500213,0.5086297591896529,0.498845856966844,0.5481479976046562,0.5308193203468676,0.49102706432729726,0.6534008559754234,0.548831383561698,0.6789766389390921,0.770332267648377,0.40207944315432576,0.44193214368431233,0.5528651547955388,0.5172734025394,1.0,0.6274299680066376,0.5593761705429193,0.6080969824292545,0.5233734582894625,0.5451625692993254,0.5782127918598654,0.6885147881034153,0.28980225514365326,0.5431605149608774
Şişe Cam,0.5006034747931447,0.5913753176470219,0.5624765395499873,0.4330523416641435,0.5391586967004607,0.5956181836520024,0.5141860697572219,0.449193029413477,0.483146419376395,0.5168460654023267,0.6337423939798705,0.4535288362984762,0.47581684293835547,0.6036746655257141,0.5160367064391914,0.6274299680066376,1.0,0.5345447914166153,0.6228625401670769,0.5376326328513579,0.5860557567005681,0.4553585537859271,0.497464901591133,0.32449611384827637,0.5635796141160923
Turkcell,0.48689606402527774,0.48709609971970064,0.5093333078484737,0.42660715303023217,0.4487820091515619,0.4483007603833299,0.4404056744611191,0.44143853986627873,0.44224965001344857,0.48180253913063253,0.5514653078639647,0.4188215895267043,0.44410923922534934,0.4777955536825869,0.405649657367136,0.5593761705429193,0.5345447914166153,1.0,0.5086831463702493,0.45726590127306377,0.44693355218498126,0.44924829386514803,0.45255389213682506,0.24356716448397847,0.44983009928784484
Türk Hava Yolları,0.47881267978769415,0.5437702396934363,0.5226730616782536,0.39415388202765633,0.510095677000448,0.5113747859912463,0.47982129346636404,0.44199679112049284,0.4525290803253489,0.4679555091366833,0.6173396026834066,0.4240521733222943,0.4482443067842504,0.5680636956494773,0.7790347819664193,0.6080969824292545,0.6228625401670769,0.5086831463702493,1.0,0.50123136037251,0.5744210415663845,0.4375780768213506,0.4610450374022411,0.3344142319659551,0.7333924938707626
Tofaş,0.40634880174224747,0.539450611697902,0.4641143431294617,0.37894678760067513,0.4437060217622268,0.47519182489012485,0.6093757573745794,0.3607533313893537,0.40864555424878074,0.39362434268785523,0.5694945377979502,0.38627084395951644,0.42902257285814793,0.46384075310732625,0.4084009897154464,0.5233734582894625,0.5376326328513579,0.45726590127306377,0.50123136037251,1.0,0.47489332998431216,0.3983576217271522,0.4273033941049022,0.31291549179396294,0.4345046840956496
Tüpraş,0.4225976612795005,0.4840580467692804,0.49167655737530735,0.3764563444204196,0.4168602416459968,0.5096736467187869,0.4703985874726679,0.4023438579964203,0.3998260397631323,0.4282013736892112,0.5898106083322594,0.3898634125906547,0.4176218028529962,0.5708122985526183,0.4724297934117364,0.5451625692993254,0.5860557567005681,0.44693355218498126,0.5744210415663845,0.47489332998431216,1.0,0.4019465532505087,0.4236683000626881,0.2604487669857695,0.499813664038419
VakıfBank,0.7145134854694625,0.42247832544076247,0.43400116183640963,0.33743820484243137,0.5028931696663251,0.3993981548319273,0.3396461915953978,0.6838272382192805,0.8588097421164855,0.7254058127056395,0.5350672026975618,0.3125665231586665,0.3702368318027676,0.46597968172611226,0.38097096188010776,0.5782127918598654,0.4553585537859271,0.44924829386514803,0.4375780768213506,0.3983576217271522,0.4019465532505087,1.0,0.693844121879134,0.2628722012670839,0.38766380494936886
Yapı Kredi,0.8575710606904714,0.4501252502966921,0.4003087555664793,0.39103375955367037,0.4945870562802212,0.4034452844195358,0.36947139190505823,0.7892675306861743,0.6313470767538866,0.839134061559505,0.6557425905651133,0.28441044524482223,0.33868506102056645,0.47167984750359837,0.39359955490725057,0.6885147881034153,0.497464901591133,0.45255389213682506,0.4610450374022411,0.4273033941049022,0.4236683000626881,0.693844121879134,1.0,0.2484113732851551,0.43320170803293256
Smart Güneş,0.24084204882466648,0.24855624458934633,0.2322260789484431,0.23879222075705145,0.27832240645502027,0.25663403261084233,0.27256280592082116,0.20703397921726865,0.28888215878453616,0.23944210793288467,0.24162940702346272,0.2629461886735299,0.30032028847241493,0.3146494947046964,0.2948643888123543,0.28980225514365326,0.32449611384827637,0.24356716448397847,0.3344142319659551,0.31291549179396294,0.2604487669857695,0.2628722012670839,0.2484113732851551,1.0,0.3143902656580218
TAV Havalimanları,0.43769374018041884,0.49256135680664886,0.46524879825870274,0.3596469542173809,0.45986323520840816,0.4628707842181404,0.4300288661055459,0.41486512866563646,0.39423605825181735,0.4244304636971743,0.5634648768668761,0.3883924394421208,0.4212469747244186,0.4922062109522171,0.7106330889634787,0.5431605149608774,0.5635796141160923,0.44983009928784484,0.7333924938707626,0.4345046840956496,0.499813664038419,0.38766380494936886,0.43320170803293256,0.3143902656580218,1.0
