Symbol,Name,Sector,Annual_Return,Annual_Volatility,Sharpe_Ratio,Skewness,Kurtosis,VaR_95,Max_Drawdown,Extreme_Days,Risk_Score,Risk_Category
BIMAS.IS,BİM,Perakende,0.46850303961784334,0.3726932757198143,1.2570740341718896,-0.06445027847504653,2.879140614690285,-0.03347766380157732,"Ticker
BIMAS.IS   -0.33473
dtype: float64",76,0.5717475738949458,Orta Risk
SISE.IS,Şişe Cam,Cam,0.3634871109763669,0.3953178070436957,0.9194807430877748,0.09886589238943343,3.8135375667377955,-0.03309362671791734,"Ticker
SISE.IS   -0.433216
dtype: float64",66,0.6064557957429411,Orta Risk
SAHOL.IS,Sabancı Holding,Holding,0.4510000392634257,0.3964489454386747,1.137599291037058,-0.018622630465677924,3.1075602847208144,-0.036810582405367595,"Ticker
SAHOL.IS   -0.31748
dtype: float64",72,0.6081910715721591,Orta Risk
TCELL.IS,Turkcell,Telekomünikasyon,0.38221850613917985,0.3996085825886686,0.9564822248390271,-0.026754954943174494,3.4247392548397313,-0.03739768548563916,"Ticker
TCELL.IS   -0.31181
dtype: float64",74,0.613038260916824,Orta Risk
EREGL.IS,Ereğli Demir Çelik,Metal Ana,0.35103218058620766,0.3997479649177037,0.8781337527471211,0.19240687960480796,3.088507309716091,-0.036314858650970755,"Ticker
EREGL.IS   -0.409948
dtype: float64",67,0.6132520869063478,Orta Risk
KCHOL.IS,Koç Holding,Holding,0.4079985614363116,0.4034800536970131,1.0111988379546801,-0.1304362859028356,3.171596108516157,-0.03608999915547145,"Ticker
KCHOL.IS   -0.464264
dtype: float64",70,0.6189774724824881,Orta Risk
ARCLK.IS,Arçelik,Dayanıklı Tüketim,0.351005776310017,0.4099807135108478,0.8561519231092554,0.21494875220604936,3.2995639620348447,-0.03873353804797699,"Ticker
ARCLK.IS   -0.459487
dtype: float64",72,0.6289501141141298,Orta Risk
TUPRS.IS,Tüpraş,Petrol,0.3760883393694291,0.4110521990917442,0.9149405846761779,0.158160361211899,3.419170936873762,-0.035590686613734955,"Ticker
TUPRS.IS   -0.466189
dtype: float64",74,0.6305938767501948,Orta Risk
THYAO.IS,Türk Hava Yolları,Havacılık,0.546419649542454,0.4336044836789383,1.2601798876855008,0.2410488610545603,4.366825370941295,-0.03782335678653695,"Ticker
THYAO.IS   -0.493787
dtype: float64",77,0.6651912651082567,Yüksek Risk
PETKM.IS,Petkim,Petrokimya,0.310686248504676,0.44214779294746753,0.7026751087765563,-0.02343271807610264,3.3575346839135607,-0.040762389622836445,"Ticker
PETKM.IS   -0.422363
dtype: float64",71,0.678297528798906,Yüksek Risk
TAVHL.IS,TAV Havalimanları,Ulaştırma,0.41831453885368514,0.4434661791665416,0.9432839718236757,0.22090712339736007,2.4319660799907856,-0.04241924240401185,"Ticker
TAVHL.IS   -0.515814
dtype: float64",75,0.6803200609220207,Yüksek Risk
FROTO.IS,Ford Otosan,Otomotiv,0.48691345183062607,0.44615455148508326,1.0913560115208318,0.18676311911666585,2.3566702455209816,-0.04019334987507371,"Ticker
FROTO.IS   -0.463385
dtype: float64",67,0.6844442843813354,Yüksek Risk
ASELS.IS,Aselsan,Savunma,0.6115112068893436,0.4477474133023929,1.3657503956954193,0.25734270963468475,3.4768450715118613,-0.03938688398693124,"Ticker
ASELS.IS   -0.435311
dtype: float64",76,0.6868878886503895,Yüksek Risk
TOASO.IS,Tofaş,Otomotiv,0.46398062952978597,0.45076425720980695,1.0293199207980404,0.031872448272244565,2.941828236906355,-0.04174092814493933,"Ticker
TOASO.IS   -0.5376
dtype: float64",60,0.6915160193338646,Yüksek Risk
GARAN.IS,Garanti BBVA,Bankacılık,0.4747502199117807,0.45436127343779437,1.044873865062749,0.21967730319604523,2.6015679308632977,-0.03955981088689927,"Ticker
GARAN.IS   -0.481571
dtype: float64",73,0.697034190536821,Yüksek Risk
ISCTR.IS,İş Bankası (C),Bankacılık,0.4513408719002957,0.45711405621794604,0.9873703636124946,0.15799900204266487,2.629591017517437,-0.04159480033909707,"Ticker
ISCTR.IS   -0.425085
dtype: float64",76,0.7012572258812921,Yüksek Risk
AKBNK.IS,Akbank,Bankacılık,0.42955220285024104,0.46018219583006154,0.9334394219129423,0.15717594290694595,2.7542312357942773,-0.040784499812415075,"Ticker
AKBNK.IS   -0.470258
dtype: float64",82,0.705964049142887,Yüksek Risk
HALKB.IS,Halkbank,Bankacılık,0.2552237797643455,0.468577686982422,0.5446776209254707,0.2909874604798675,2.9580921148026276,-0.045105854059644214,"Ticker
HALKB.IS   -0.538665
dtype: float64",80,0.7188435455296885,Yüksek Risk
VAKBN.IS,VakıfBank,Bankacılık,0.2879203244796813,0.47069613994892145,0.6116904304992294,0.3171551357384852,3.096426007442898,-0.044780656909923604,"Ticker
VAKBN.IS   -0.531295
dtype: float64",77,0.7220934575160728,Yüksek Risk
YKBNK.IS,Yapı Kredi,Bankacılık,0.47605780742092374,0.4718849958719767,1.0088428570212034,0.03067604605029777,2.0395954080470977,-0.04441946989772072,"Ticker
YKBNK.IS   -0.4377
dtype: float64",82,0.7239172776223106,Yüksek Risk
KOZAL.IS,Koza Altın,Madencilik,0.35203003004383815,0.4927836613797117,0.7143703365858621,0.12984292183227247,2.338853364586021,-0.04616341786047958,"Ticker
KOZAL.IS   -0.487751
dtype: float64",91,0.7559778541878841,Yüksek Risk
EKGYO.IS,Emlak Konut GYO,Gayrimenkul,0.4774794447596631,0.49291651356204125,0.9686821837417805,0.016747212246225187,2.2864803888248364,-0.045508778545384675,"Ticker
EKGYO.IS   -0.425345
dtype: float64",78,0.756181662300029,Yüksek Risk
PGSUS.IS,Pegasus,Havacılık,0.4928972525113513,0.5107448218431643,0.9650557997486786,0.14859846877812888,2.6800522836316594,-0.043149967178433855,"Ticker
PGSUS.IS   -0.715928
dtype: float64",90,0.7835320135686321,Yüksek Risk
KOZAA.IS,Koza Anadolu,Madencilik,0.37828605761432316,0.5118806957834651,0.7390121579703899,0.15515719672744893,1.9023365958958864,-0.04889571116444759,"Ticker
KOZAA.IS   -0.493785
dtype: float64",74,0.7852745541829299,Yüksek Risk
SMRTG.IS,Smart Güneş,Enerji,0.6129973971504797,0.6518493348050373,0.940397365495237,0.46316979861585733,1.103999163425149,-0.05885131500599775,"Ticker
SMRTG.IS   -0.719344
dtype: float64",84,1.0,Yüksek Risk
